Abbrev,State,Rate
AL,Alabama,3.9
AK,Alaska,5.8
AZ,Arizona,7.5
AR,Arkansas,4.2
CA,California,9
CO,Colorado,8.4
CT,Connecticut,8
DE,Delaware,5.3
FL,Florida,6.1
GA,Georgia,5.6
HI,Hawaii,9.3
ID,Idaho,4.4
IL,Illinois,7.6
IN,Indiana,4.3
IA,Iowa,3.1
KS,Kansas,3.8
KY,Kentucky,6
LA,Louisiana,7.2
ME,Maine,4.9
MD,Maryland,6.3
MA,Massachusetts,7.4
MI,Michigan,7.5
MN,Minnesota,4.4
MS,Mississippi,6.2
MO,Missouri,5.8
MT,Montana,4.4
NE,Nebraska,3
NV,Nevada,9.2
NH,New Hampshire,4
NJ,New Jersey,7.6
NM,New Mexico,8.2
NY,New York,8.2
NC,North Carolina,6.2
ND,North Dakota,4.1
OH,Ohio,5.5
OK,Oklahoma,5.3
OR,Oregon,6.4
PA,Pennsylvania,6.7
RI,Rhode Island,8.1
SC,South Carolina,4.6
SD,South Dakota,3
TN,Tennessee,6.4
TX,Texas,7.2
UT,Utah,3.6
VT,Vermont,3.1
VA,Virginia,4.9
WA,Washington,7.1
WV,West Virginia,6.3
WI,Wisconsin,5.5
WY,Wyoming,4.8